T^* delta*=0.00 delta*=0.25 delta*=0.50 delta*=0.75 delta*=1.00 delta*=1.50 delta*=2.00 delta*=2.50
0.1 4.1005 4.266 4.833 5.742 6.729 8.624 10.34 11.89 
0.2 3.2626 3.305 3.516 3.914 4.433 5.570 6.637 7.618 
0.3 2.8399 2.836 2.936 3.168 3.511 4.329 5.126 5.874 
0.4 2.5310 2.522 2.586 2.749 3.004 3.640 4.282 4.895 
0.5 2.2837 2.277 2.329 2.460 2.665 3.187 3.727 4.249 
0.6 2.0838 2.081 2.130 2.243 2.417 2.862 3.329 3.786 
0.7 1.9220 1.924 1.970 2.072 2.225 2.614 3.028 3.435 
0.8 1.7902 1.795 1.840 1.934 2.070 2.417 2.788 3.156 
0.9 1.6823 1.689 1.733 1.820 1.944 2.258 2.596 2.933 
1.0 1.5929 1.601 1.644 1.725 1.838 2.124 2.435 2.746 
1.2 1.4551 1.465 1.504 1.574 1.670 1.913 2.181 2.451 
1.4 1.3551 1.365 1.400 1.461 1.544 1.754 1.989 2.228 
1.6 1.2800 1.289 1.321 1.374 1.447 1.630 1.838 2.053 
1.8 1.2219 1.231 1.259 1.306 1.370 1.532 1.718 1.912 
2.0 1.1757 1.184 1.209 1.251 1.307 1.451 1.618 1.795 
2.5 1.0933 1.100 1.119 1.150 1.193 1.304 1.435 1.578 
3.0 1.0388 1.044 1.059 1.083 1.117 1.204 1.310 1.428 
3.5 0.99963 1.004 1.016 1.035 1.062 1.133 1.220 1.319 
4.0 0.96988 0.9732 0.9830 0.9991 1.021 1.079 1.153 1.236 
5.0 0.92676 0.9291 0.9360 0.9473 0.9628 1.005 1.058 1.121 
6.0 0.89616 0.8979 0.9030 0.9114 0.9230 0.9545 0.9955 1.044 
7.0 0.87272 0.8741 0.8780 0.8845 0.8935 0.9181 0.9505 0.9893 
8.0 0.85379 0.8549 0.8580 0.8632 0.8703 0.8901 0.9164 0.9482 
9.0 0.83795 0.8388 0.8414 0.8456 0.8515 0.8678 0.8895 0.9160 
10.0 0.82435 0.8251 0.8273 0.8308 0.8356 0.8493 0.8676 0.8901 
12.0 0.80184 0.8024 0.8039 0.8065 0.8101 0.8201 0.8337 0.8504 
14.0 0.78363 0.7840 0.7852 0.7872 0.7899 0.7976 0.8081 0.8212 
16.0 0.76834 0.7687 0.7696 0.7712 0.7733 0.7794 0.7878 0.7983 
18.0 0.75518 0.7554 0.7562 0.7575 0.7592 0.7642 0.7711 0.7797 
20.0 0.74364 0.7438 0.7445 0.7455 0.7470 0.7512 0.7569 0.7642 
25.0 0.71982 0.7200 0.7204 0.7211 0.7221 0.7250 0.7289 0.7339 
30.0 0.70097 0.7011 0.7014 0.7019 0.7026 0.7047 0.7076 0.7112 
35.0 0.68545 0.6855 0.6858 0.6861 0.6867 0.6883 0.6905 0.6932 
40.0 0.67232 0.6724 0.6726 0.6728 0.6733 0.6745 0.6762 0.6784 
50.0 0.65099 0.6510 0.6512 0.6513 0.6516 0.6524 0.6534 0.6546 
75.0 0.61397 0.6141 0.6143 0.6145 0.6147 0.6148 0.6148 0.6147 
100.0 0.58870 0.5889 0.5894 0.5900 0.5903 0.5901 0.5895 0.5885
